year,sa.ca.4,sa.wc.4,sa.ss.1,sa.sn.1,sa.ii.5,sa.pt.5,sa.wp.5,sa.st.5,sa.ps.8,sa.pd.8,leu.ca.4,leu.wc.4,leu.ss.1,leu.sn.1,leu.ii.5,leu.pt.5,leu.wp.5,leu.st.5,leu.ps.8,leu.pd.8,cli.ca.4,cli.wc.4,cli.ss.1,cli.sn.1,cli.ii.5,cli.pt.5,cli.wp.5,cli.st.5,cli.ps.8,cli.pd.8,,sa.ca.4.sd,sa.wc.4.sd,sa.ss.1.sd,sa.sn.1.sd,sa.ii.5.sd,sa.pt.5.sd,sa.wp.5.sd,sa.st.5.sd,sa.ps.8.sd,sa.pd.8.sd,leu.ca.4.sd,leu.wc.4.sd,leu.ss.1.sd,leu.sn.1.sd,leu.ii.5.sd,leu.pt.5.sd,leu.wp.5.sd,leu.st.5.sd,leu.ps.8.sd,leu.pd.8.sd,cli.ca.4.sd,cli.wc.4.sd,cli.ss.1.sd,cli.sn.1.sd,cli.ii.5.sd,cli.pt.5.sd,cli.wp.5.sd,cli.st.5.sd,cli.ps.8.sd,cli.pd.8.sd,,sa.ca.4.n,sa.wc.4.n,sa.ss.1.n,sa.sn.1.n,sa.ii.5.n,sa.pt.5.n,sa.wp.5.n,sa.st.5.n,sa.ps.8.n,sa.pd.8.n,leu.ca.4.n,leu.wc.4.n,leu.ss.1.n,leu.sn.1.n,leu.ii.5.n,leu.pt.5.n,leu.wp.5.n,leu.st.5.n,leu.ps.8.n,leu.pd.8.n,cli.ca.4.n,cli.wc.4.n,cli.ss.1.n,cli.sn.1.n,cli.ii.5.n,cli.pt.5.n,cli.wp.5.n,cli.st.5.n,cli.ps.8.n,cli.pd.8.n
1984,610.9581984,,69.36444025,,,,,,,,587.2323633,,1210.286626,,,,,,,,117.921474,,163.6115088,,,,,,,,,1281.743009,,378.1056724,,,,,,,,1052.54707,,2158.339088,,,,,,,,384.6400928,,747.9736062,,,,,,,,,93,,33,,,,,,,,93,,33,,,,,,,,93,,33,,,,,,,
1985,404.2862549,,2.120165086,,,,,,,,482.4619147,,1395.535272,,,,,,,,265.0587438,,158.2630623,,,,,,,,,791.2456239,,12.17942116,,,,,,,,694.6689441,,1568.279024,,,,,,,,757.8177114,,368.5276365,,,,,,,,,101,,33,,,,,,,,101,,33,,,,,,,,101,,33,,,,,,,
1986,501.4489426,192.6965042,135.3741716,,,406.4327689,,,0,,537.2987596,310.6286485,1059.571094,,,559.6919241,,,0,,247.3457979,99.70076316,126.6342556,,,34.12794243,,,0,,,1065.897753,598.9827193,466.3431094,,,1578.552853,,,0,,858.3696065,561.8541579,1400.069574,,,727.1994331,,,0,,554.5467518,368.0045765,304.6640673,,,157.430286,,,0,,,72,48,30,,,34,,,27,,72,48,30,,,34,,,27,,72,48,30,,,34,,,27,
1987,,,141.3987023,,,,,,,,,,2061.348539,,,,,,,,,,276.6521876,,,,,,,,,,,754.4841129,,,,,,,,,,2321.345283,,,,,,,,,,541.2338634,,,,,,,,,,,55,,,,,,,,,,55,,,,,,,,,,55,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,80.30816621,558.5980692,0,268.4738812,104.2186413,110.9342265,143.2778941,88.23776094,84.52142649,170.2655654,176.6933674,916.4944893,825.1041444,1153.131216,335.0956306,140.8409643,123.0422072,126.0470619,68.27676051,175.6312139,54.12711569,55.43191354,52.49769095,228.9188334,80.01853831,4.832778186,0.659015207,9.797922675,24.52673181,69.10922732,,213.2814029,1072.416394,0,883.1765684,329.8728573,380.2839805,338.6172321,192.8174947,246.5990522,419.6849562,287.5884013,1200.863689,1077.549693,1236.440276,534.0368867,341.7821814,172.0940647,285.8192667,178.0903098,313.2722787,265.8678582,250.2367171,227.0112786,578.2744339,236.3024354,33.8294473,6.523917707,52.6518381,127.4340217,215.4559041,,70,183,38,75,106,49,98,78,201,88,70,183,38,75,106,49,98,78,201,88,70,183,38,75,106,49,98,78,201,88
1990,263.6678897,,,244.8157503,94.37638093,57.65218137,181.4184005,262.8755496,31.00001172,78.76109281,256.2939729,,,1688.830828,242.5799177,218.7144642,292.9528055,280.077066,43.37894796,150.265473,134.4199588,,,44.16371028,16.82264568,54.55347855,0,22.77582025,12.99189747,65.5883637,,718.0186598,,,863.3840144,278.5501502,258.3506463,379.1440129,617.3517389,186.91705,193.2449845,551.2431158,,,1894.914821,344.7934857,417.3307996,397.340995,407.8068246,129.6647411,299.0554923,597.5041837,,,158.7546321,110.7049953,160.2173168,0,164.5686329,93.28644308,232.4110025,,119,,,68,167,44,61,69,207,146,119,,,68,167,44,61,69,207,146,119,,,68,167,44,61,69,207,146
1991,634.3142446,,80.40511251,203.7535959,99.98367121,156.0365696,109.7294403,463.2216755,82.51803771,237.687482,998.4826887,,1630.40531,1941.336676,315.4253437,277.1931295,186.5124777,658.9902732,72.481677,154.9808833,237.4384329,,78.65566105,99.70253351,30.1563233,25.90067059,0.531551361,27.04841091,40.7001414,62.93362951,,1103.94464,,461.129262,547.6636893,313.5643323,524.6243027,350.5272943,760.2183048,341.3553242,705.5299339,1328.592373,,1931.651438,2504.42369,1025.808655,643.9735268,247.1278459,885.1497837,199.6997747,340.3847767,703.8194811,,241.2580669,283.5238587,238.1183815,200.8274773,2.898889677,100.9601559,209.3659721,253.949864,,114,,91,223,217,128,81,54,585,238,114,,91,223,217,128,81,54,585,238,114,,91,223,217,128,81,54,585,238
1992,381.2229669,799.6558172,84.10873156,250.2235069,106.4878669,104.6129527,183.2647986,621.6798134,90.21734834,299.526827,592.3450411,1490.504102,3108.50263,1768.106937,248.0899236,157.9726277,234.5814551,796.2109594,60.86574681,130.127571,262.89582,102.174476,316.4541519,171.3193692,54.22108562,27.499905,16.0167056,155.1997203,25.49866462,69.98849279,,705.4430179,1327.88021,507.1416841,698.5662952,467.0219073,403.2169578,420.9280538,903.5354247,345.8843572,835.4620864,749.188705,1775.525465,3013.81535,2250.245114,421.9028613,398.1612084,378.2027487,915.3689144,191.2506779,281.463931,813.1277473,293.0493284,972.5431344,468.4804105,220.2070886,162.0761771,80.02158258,568.250886,128.1319264,244.3232814,,147,137,43,92,222,144,125,124,328,240,147,137,43,92,222,144,125,124,328,240,147,137,43,92,222,144,125,124,328,240
1993,818.7218938,524.4433653,241.2483818,148.8448521,174.2804028,333.0572937,161.285921,689.7594687,91.88601413,278.6741581,1119.698015,778.5853513,2112.760027,1815.790053,354.4470753,238.2314071,259.1860031,635.5946508,97.17302986,146.9430529,405.2804189,5.110141489,132.2423849,76.67446338,46.59237515,11.65626034,3.182374885,51.44187057,49.63172551,132.1494944,,1189.460577,1156.353449,732.5603335,581.2584514,462.341761,1144.590168,451.5709844,1165.369515,351.6077817,745.4991739,1327.486984,1179.942994,1978.486087,2148.984532,551.0841647,532.4717729,330.134896,794.0594894,312.5792444,371.3262891,1062.612525,36.75537365,396.0082168,347.9173888,241.6250369,80.91107443,22.67622216,229.2419225,233.0697668,357.2542654,,139,99,63,73,280,193,115,96,394,148,139,99,63,73,280,193,115,96,394,148,139,99,63,73,280,193,115,96,394,148
