year,salinity
1984,31.02583333
1985,31.665
1986,31.42666667
1987,31.42
1988,31.64416667
1989,31.79
1990,31.4625
1991,31.11083333
1992,30.84583333
1993,30.6825
1994,31.2725
1995,30.99
1996,30.7725
1997,30.49083333
1998,30.83333333
1999,30.58083333
2000,30.9425
2001,31.49416667
2002,31.1925
2003,31.11
2004,31.15333333
2005,31.045
2006,31.04666667
2007,30.84666667
2008,31.21666667
2009,31.09416667
2010,31.08333333
2011,30.82666667
2012,30.86833333
2013,31.0625
2014,30.87333333
2015,30.99166667
2016,31.16583333
